ACTIVE,What/All Words,Where,Date Posted,Posted by,Remote,Within 50 km,Salary Estimate,Jobs Type,Location,Company,Radius,All Words,Exact Phrase,At Least,None,In Title,Company.1,Jobs Type.1,Jobs From,Exclude Agencies,Salary,Age,Display,Relevance,Advertiser Exclude,Location Exclude,Sort
True,Mechanical Engineer,NSW,,,,,,all,,,100.0,Mechanical Engineer,,,,Mechanical Engineer,,,,,,any,50.0,,Infosys; Microsoft,Sydney,
True,Asset Engineer,NSW,,,,,,all,,,100.0,Asset Engineer,,,,Asset Engineer,,,,,,any,50.0,,,,
True,Design Engineer,NSW,,,,,,all,,,100.0,Design Engineer,,,,Design Engineer,,,,,,any,50.0,,,,
True,Development Engineer,NSW,,,,,,all,,,100.0,Development Engineer,,,,Development Engineer,,,,,,any,50.0,,,,
True,Industrial Engineer,NSW,,,,,,all,,,100.0,Industrial Engineer,,,,Industrial Engineer,,,,,,any,50.0,,,,
True,Infrastructure Engineer,NSW,,,,,,all,,,100.0,Infrastructure Engineer,,,,Infrastructure Engineer,,,,,,any,50.0,,,,
True,Maintenance Engineer,NSW,,,,,,all,,,100.0,Maintenance Engineer,,,,Maintenance Engineer,,,,,,any,50.0,,,,
True,Manufacturing Engineer,NSW,,,,,,all,,,100.0,Manufacturing Engineer,,,,Manufacturing Engineer,,,,,,any,50.0,,,,
False,Mining Engineer,NSW,,,,,,all,,,100.0,Mining Engineer,,,,Mining Engineer,,,,,,any,50.0,,,,
False,Pipeline Engineer,NSW,,,,,,all,,,100.0,Pipeline Engineer,,,,Pipeline Engineer,,,,,,any,50.0,,,,
False,Process Engineer,NSW,,,,,,all,,,100.0,Process Engineer,,,,Process Engineer,,,,,,any,50.0,,,,
False,Production Engineer,NSW,,,,,,all,,,100.0,Production Engineer,,,,Production Engineer,,,,,,any,50.0,,,,
False,Project Controls Engineer,NSW,,,,,,all,,,100.0,Project Controls Engineer,,,,Project Controls Engineer,,,,,,any,50.0,,,,
False,Project Development Engineer,NSW,,,,,,all,,,100.0,Project Development Engineer,,,,Project Development Engineer,,,,,,any,50.0,,,,
False,Project Engineer,NSW,,,,,,all,,,100.0,Project Engineer,,,,Project Engineer,,,,,,any,50.0,,,,
False,Project Mechanical,NSW,,,,,,all,,,100.0,Project Mechanical,,,,Project Mechanical,,,,,,any,50.0,,,,
False,Project Services Engineer,NSW,,,,,,all,,,100.0,Project Services Engineer,,,,Project Services Engineer,,,,,,any,50.0,,,,
False,Project Site Engineer,NSW,,,,,,all,,,100.0,Project Site Engineer,,,,Project Site Engineer,,,,,,any,50.0,,,,
False,Reliability Engineer,NSW,,,,,,all,,,100.0,Reliability Engineer,,,,Reliability Engineer,,,,,,any,50.0,,,,
False,Services Engineer,NSW,,,,,,all,,,100.0,Services Engineer,,,,Services Engineer,,,,,,any,50.0,,,,
False,Site Engineer,NSW,,,,,,all,,,100.0,Site Engineer,,,,Site Engineer,,,,,,any,50.0,,,,
False,Turnaround Engineer,NSW,,,,,,all,,,100.0,Turnaround Engineer,,,,Turnaround Engineer,,,,,,any,50.0,,,,
False,Utilities Engineer,NSW,,,,,,all,,,100.0,Utilities Engineer,,,,Utilities Engineer,,,,,,any,50.0,,,,
False,Product Engineer,NSW,,,,,,all,,,100.0,Product Engineer,,,,Product Engineer,,,,,,any,50.0,,,,
